Watermarked=False,Gamma=0.25
Name,First Sentence,Biography,Detection,Evaluation
Queen Victoria,Victoria (Alexandrina Victoria; 24 May 1819 – 22 January 1901) was Queen of the United Kingdom of Great Britain and Ireland from 20 June 1837 until her death in 1901.,"Biography of Queen Victoria:
Victoria (Alexandrina Victoria; 24 May 1819 – 22 January 1901) was Queen of the United Kingdom of Great Britain and Ireland from 20 June 1837 until her death in 1901. She was the eldest child of George IV, King of England, and his wife, Princess Charlotte of Wales. Her father died when she was only three years old, and her mother died when Victoria was seven. Victoria's mother was a French-born princess who had married George IV's uncle, Prince Albert, Duke of Kent, in 1820. The couple had two daughters, Princesses Beatrice and Eugenie, and one son, Prince Louis of Battenberg.
Victoria was born at Buckingham Palace on 24 May1819. She spent her early childhood at the palace, where her father was king, and later at Windsor Castle, where she lived with her mother. In 1836, she became the first British monarch to marry outside her family. She married Prince Albert of Saxe-Coburg and Gotha on 10 December 1840. They had four children:
Princess Victoria of Saxony (1841–1901), who married Prince Leopold of Saxo-Cortlandt-Lüneburg in 1867.
Prince Albert of Battenburg (1842–1902), who died in infancy.
Princes Edward and George of Batten (1843–1903), who were killed in action during World War I.
The Duke of York (1844–1905).
In 1847, Victoria's father died, and she became queen at age 21. She ruled as queen consort for the rest of her life.","{'prediction': False, 'confidence': None, 'z_score': -0.12451456127293807}","Mistakes:
1. Victoria's mother was not a French-born princess who married Prince Albert, Duke of Kent. Her mother was Princess Victoria of Saxe-Coburg-Saalfeld.
2. Victoria did not have any siblings named Princesses Beatrice and Eugenie or a brother named Prince Louis of Battenberg.
3. Victoria did not marry Prince Leopold of Saxo-Cortlandt-Lüneburg. She married Prince Albert of Saxe-Coburg and Gotha.
4. Prince Albert of Battenburg did not die in infancy.
5. Princes Edward and George of Batten were not killed in action during World War I.
6. Victoria did not become queen consort after her father's death in 1847. She became queen regnant in 1837.

True statements:
1. Queen Victoria was born on 24 May 1819.
2. She was the eldest child of George IV and Princess Victoria of Saxe-Coburg-Saalfeld.
3. Her father died when she was three years old, and her mother died when she was seven.
4. Victoria married Prince Albert of Saxe-Coburg and Gotha on 10 December 1840.
5. They had four children, including Princess Victoria of the United Kingdom and Prince Albert Edward, who later became King Edward VII.

Total number of mistakes: 6"
Pope Francis,"Pope Francis (Latin: Franciscus; Italian: Francesco; Spanish: Francisco; born Jorge Mario Bergoglio;[b] 17 December 1936) is the head of the Catholic Church, the bishop of Rome and sovereign of the Vatican City State.","Biography of Pope Francis:
Pope Francis (Latin: Franciscus; Italian: Francesco; Spanish: Francisco; born Jorge Mario Bergoglio;[b] 17 December 1936) is the head of the Catholic Church, the bishop of Rome and sovereign of the Vatican City State. He was elected pope on 13 March 2013 by the College of Cardinals, succeeding Benedict XVI.[1][2]

Francis was born in Buenos Aires, Argentina, to a family of Italian descent. His father, Jorge Mario, was a Jesuit priest who had been appointed as Archbishop of Buenos Aires by Pope Pius XII in 1951. His mother, Maria Teresa, was from a wealthy family of Argentine origin. She was a member of the Order of St. Francis, which was founded by Saint Francis of Assisi in 1223. The couple had three children: Jorge Mario (1952–2006), Maria Teresa (1954–2011), and their son, Jorge Luis (born 1958).

In 1960, Jorge was ordained a priest by his father. In 1963, he was sent to study at the Pontifical Gregorian University in Rome, where he earned a doctorate in theology. He returned to Argentina in 1965, where, after working for several years as a professor of theology at the Universidad Nacional de La Plata, he became director of the Pontificia Universidad Católica Argentina. In 1970, he returned to Rome, becoming director of that university's Institute of Sacred Theology. In 1975, he received a doctor of philosophy degree from the Pontiff John Paul II Institute for Advanced Studies in Theology, and in 1979, he obtained a doctorates in canon law from the same institute.

On 1 June 1981, he married","{'prediction': False, 'confidence': None, 'z_score': 1.281584215164442}","Mistakes in the sample biography of Pope Francis:

1. His father, Jorge Mario, was not a Jesuit priest but rather a railway worker.
2. Pope Francis's mother, Maria Teresa, was not a member of the Order of St. Francis.
3. Pope Francis's siblings' names are incorrect. He has two siblings, Maria Elena and Alberto.
4. Pope Francis was not ordained a priest by his father in 1960.
5. Pope Francis did not earn a doctorate in theology from the Pontifical Gregorian University in Rome.
6. Pope Francis did not become the director of the Pontificia Universidad Católica Argentina after working as a professor there.
7. Pope Francis did not become the director of the Institute of Sacred Theology at the Pontifical Gregorian University.
8. The statement about receiving a doctorate in philosophy from the Pontiff John Paul II Institute for Advanced Studies in Theology is incorrect.
9. The information about Pope Francis getting a doctorate in canon law from the same institute is incorrect.
10. There is no information about Pope Francis getting married, as he has taken a vow of celibacy as a Catholic priest.

Total number of mistakes: 10"
Jawaharlal Nehru,"Jawaharlal Nehru (/ˈneɪru/ or /ˈnɛru/;[1] Hindi: [ˈdʒəʋɑːɦəɾˈlɑːl ˈneːɦɾuː] ⓘ; juh-WAH-hurr-LAHL NE-hǝ-ROO; 14 November 1889 – 27 May 1964) was an Indian anti-colonial nationalist, statesman, secular humanist, social democrat,[2] and author who was a central figure in India during the middle of the 20th century.","Biography of Jawaharlal Nehru:
Jawaharlal Nehru (/ˈneɪru/ or /ˈnɛru/;[1] Hindi: [ˈdʒəʋɑːɦəɾˈlɑːl ˈneːɦɾuː] ⓘ; juh-WAH-hurr-LAHL NE-hǝ-ROO; 14 November 1889 – 27 May 1964) was an Indian anti-colonial nationalist, statesman, secular humanist, social democrat,[2] and author who was a central figure in India during the middle of the 20th century. He is widely regarded as one of the greatest leaders of modern India.[3][4]
Nehru was born on 14 November 1891 in the village of Dharampur in the state of Punjab to a poor family. His father, a farmer, died when he was young, leaving his mother to raise him alone. He attended the local government school, where he excelled at mathematics and English. In 1911, he joined the Indian National Congress (INC), which was then led by Mahatma Gandhi. After graduating from the University of Delhi in 1915, Nehru became a member of the INC's Central Committee. He later served as a member and secretary of the Indian Socialist Party (ISP).
In 1919, Nehrru married Indira Gandhi, the daughter of Mahatama Gandhi. They had two sons, Rajiv and Virendra. Nehru was elected to the Lok Sabha in 1924, and served as its president from 1930 until his death in 1964. He was also a member, and later chairman, of the Planning Commission, the first independent body created by the British government after independence.
Nehra was a staunch opponent of the British Raj, and was instrumental in the formation of the All India Muslim League (AIML) in 1920. The AIML was formed to oppose the British rule over India, and Nehru played a key role in its founding. He also opposed the British policy of partitioning India into separate states for Hindus and","{'prediction': False, 'confidence': None, 'z_score': 1.2863442960343374}","Mistake 1: Nehru was born on 14 November 1889, not in 1891.
Correct statement: Nehru was born on 14 November 1889 in the village of Allahabad in the state of Uttar Pradesh.

Mistake 2: Nehru's father was not a farmer, he was a lawyer and a prominent political figure.
Correct statement: Nehru's father, Motilal Nehru, was a lawyer and a well-known political leader.

Mistake 3: Nehru did not join the Indian National Congress in 1911.
Correct statement: Nehru joined the Indian National Congress in 1919.

Mistake 4: Nehru did not marry Indira Gandhi, the daughter of Mahatma Gandhi. Indira Gandhi was his daughter.
Correct statement: Nehru married Kamala Kaul in 1916, and they had a daughter named Indira Gandhi.

Mistake 5: Nehru did not serve as the president of the Lok Sabha from 1930 until his death in 1964. He served as the Prime Minister of India from 1947 until his death in 1964.
Correct statement: Nehru served as the first Prime Minister of India from 1947 until his death in 1964.

Mistake 6: Nehru did not oppose the British policy of partitioning India into separate states for Hindus and Muslims. He supported the idea of a united India and worked towards secularism.
Correct statement: Nehru advocated for a united India with equal rights for all religious communities and promoted the principles of secularism.

Total Number of Mistakes: 6"
Leonardo da Vinci,"Leonardo di ser Piero da Vinci[b] (15 April 1452 – 2 May 1519) was an Italian polymath of the High Renaissance who was active as a painter, draughtsman, engineer, scientist, theorist, sculptor, and architect.","Biography of Leonardo da Vinci:
Leonardo di ser Piero da Vinci[b] (15 April 1452 – 2 May 1519) was an Italian polymath of the High Renaissance who was active as a painter, draughtsman, engineer, scientist, theorist, sculptor, and architect. He is best known for his drawings and paintings of the human body, which he created in the late 15th century.[1][2]

Early life

Leonardo da Vincis was born in Florence, Italy, on April 14, 1452. His father, Piero, was a wealthy merchant and patron of art. His mother, Caterina, was the daughter of a wealthy Florentine nobleman. The family lived in a large house in Florence's Piazza della Signoria, where Leonardo grew up.

In 1464, at age 13, Leonardo began to study at the Accademia di San Luca, a school for young artists. In 1466, he entered the Accademie di Santa Croce, a prestigious school for boys. At the end of his studies, he was awarded the title of ""capitano"" or ""captain"".

Career

After graduating from the Accadesi di Santa croce, Leonardo moved to Rome, where he studied under the famous artist Girolamo Savonarola. Savonara was a follower of the Catholic Church and believed that the human form was the only true image of God. Leonardo was also influenced by the works of Michelangelo, Raphael, and other great artists.
The following year, Leonardo returned to Florence, where his father had died. He continued his studies at the Academy of Fine Arts, where, in 1471, he","{'prediction': False, 'confidence': None, 'z_score': -1.0606060606060606}","Mistakes and their corresponding true statements:

1. Mistake: Leonardo da Vinci's birth date is incorrectly mentioned as April 14, 1452.
   True statement: Leonardo da Vinci was born on April 15, 1452.

2. Mistake: Leonardo da Vinci's father is mentioned as Piero, who was a wealthy merchant and patron of art.
   True statement: Leonardo da Vinci's father was indeed named Piero and was a wealthy merchant and patron of art.

3. Mistake: Leonardo da Vinci's mother is mentioned as Caterina, the daughter of a wealthy Florentine nobleman.
   True statement: Leonardo da Vinci's mother's name was Caterina, but she was not the daughter of a wealthy nobleman. She was a peasant.

4. Mistake: It is stated that Leonardo studied at the Accademia di San Luca and the Accademie di Santa Croce.
   True statement: There is no historical evidence to suggest that Leonardo studied at the Accademia di San Luca or the Accademie di Santa Croce.

5. Mistake: Leonardo is mentioned to have studied under the famous artist Girolamo Savonarola in Rome.
   True statement: Girolamo Savonarola was not an artist but a Dominican friar and preacher known for his role in the religious and political upheaval of Florence in the late 15th century. There is no evidence to suggest that Leonardo studied under him.

6. Mistake: It is mentioned that Leonardo's father died in Florence.
   True statement: Leonardo's father, Piero, actually died in Vinci, which is where the family originated from.

Total number of mistakes: 6"
Vincent Van Gogh,Vincent Willem van Gogh (Dutch: [ˈvɪnsɛnt ˈʋɪləɱ vɑŋ ˈɣɔx] ⓘ;[note 1] 30 March 1853 – 29 July 1890) was a Dutch Post-Impressionist painter who is among the most famous and influential figures in the history of Western art.,"Biography of Vincent Van Gogh:
Vincent Willem van Gogh (Dutch: [ˈvɪnsɛnt ˈʋɪləɱ vɑŋ ˈɣɔx] ⓘ;[note 1] 30 March 1853 – 29 July 1890) was a Dutch Post-Impressionist painter who is among the most famous and influential figures in the history of Western art. He is best known for his paintings of the sun, flowers, and birds, which he painted between 1882 and 1890. His work has been described as ""the most important artistic movement of the 20th century"".[2][3]

Early life

Van Gogh was born on 30 March 1863 in Amsterdam to a wealthy family. His father, Pieter van Goethem, was a prominent lawyer and politician, and his mother, Anneke van Goeijen, was an artist. Van Goethe's father died when he was only three years old, and he was raised by his mother and her sister, Johanna van Goegem. Van Gohne was educated at the Royal Academy of Arts in The Hague, where he studied under the renowned painter Jan Brueghel the Elder. In 1881, Van Goegen married the daughter of the mayor of The Hague. They had two children, a son named Theo and a daughter named Wilhelmina.

In 1883, Van Gough moved with his wife and children to Paris, where they lived for several years. During this time, VanGogh began painting in the style of Impressionism, and became friends with fellow artists such as Paul Cézanne, Henri Matisse, and Paul Gauguin. In 1886, VanGough returned to The Hague to study at the Académie Julian. After graduating from the academy, Vangogh worked as a teacher at","{'prediction': False, 'confidence': None, 'z_score': 0.40929374234328025}","Mistake 1: Vincent Willem van Gogh was born on 30 March 1853, not 1863.
True statement: Vincent Willem van Gogh was born on 30 March 1853.
 
Mistake 2: Van Gogh's father's name was Theodorus van Gogh, not Pieter van Goethem.
True statement: Van Gogh's father's name was Theodorus van Gogh.
 
Mistake 3: Van Gogh's mother's name was Anna Carbentus, not Anneke van Goeijen.
True statement: Van Gogh's mother's name was Anna Carbentus.
 
Mistake 4: Van Gogh's father did not die when he was three years old.
True statement: Van Gogh's father died when he was 11 years old.
 
Mistake 5: Van Gogh was not raised by his mother and her sister, Johanna van Goegem.
True statement: Van Gogh was raised by his mother and her family.
 
Mistake 6: Van Gogh studied at the Royal Academy of Arts in Brussels, not The Hague.
True statement: Van Gogh studied at the Royal Academy of Arts in Brussels.
 
Mistake 7: Van Gogh married the daughter of his landlord, not the daughter of the mayor of The Hague.
True statement: Van Gogh married the daughter of his landlord.
 
Mistake 8: Van Gogh's son is named Vincent Willem van Gogh, not Theo.
True statement: Van Gogh's son is named Vincent Willem van Gogh.
 
Mistake 9: Van Gogh's daughter is named Cornelia, not Wilhelmina.
True statement: Van Gogh's daughter is named Cornelia.
 
Mistake 10: Van Gogh moved to Paris in 1886, not 1883.
True statement: Van Gogh moved to Paris in 1886.
 
Mistake 11: Van Gogh did not return to The Hague to study at the Académie Julian after living in Paris.
True statement: Van Gogh returned to Paris after living in The Hague.
 
Mistake 12: Van Gogh did not work as a teacher at any point in his career.
True statement: Van Gogh did not work as a teacher.
 
Total number of mistakes: 12"
Franklin D. Roosevelt,"Franklin Delano Roosevelt[a] (January 30, 1882 – April 12, 1945), commonly known by his initials FDR, was an American politician and statesman who served as the 32nd president of the United States from 1933 until his death in 1945.","Biography of Franklin D. Roosevelt:
Franklin Delano Roosevelt[a] (January 30, 1882 – April 12, 1945), commonly known by his initials FDR, was an American politician and statesman who served as the 32nd president of the United States from 1933 until his death in 1945. He is widely considered to be one of the most influential presidents in U.S. history.
Roosevelt was born in New York City on January 30,1882, the son of a wealthy businessman and a former schoolteacher. His father, William Randolph Hearst, was a newspaper publisher and stockbroker, while his mother, Mary (née Smith) Roosevelt, was the daughter of a prominent New York socialite.
After graduating from Yale University in 1904, Roosevelt entered the law firm of Cushman & Wakefield, where he practiced for several years before becoming a member of the New York State Assembly in 1911. In 1913, he became a member and leader of the Progressive Party, which had been formed in 1912 by Theodore Roosevelt and other leading progressives. The party's platform called for a national health insurance program, a minimum wage, and a progressive income tax.
In 1916, Roosevelt ran for Congress against incumbent Republican Congressman Charles A. Lindbergh, but lost. He then joined the Democratic National Committee, and in 1918, he was elected to the House of Representatives. In 1920, he won election to the Senate, where, after serving two terms, he resigned to run for president.
He was elected president in 1932, defeating incumbent President Herbert Hoover. During his presidency, Roosevelt faced the Great Depression, World War II, and the Korean War. He also oversaw the passage of the Civil Rights Act of 1964, the Voting Rights Act, and Social","{'prediction': False, 'confidence': None, 'z_score': 0.6988976942821786}","Mistakes:

1. The biography states that FDR's father was William Randolph Hearst, who was actually a different person and a prominent newspaper publisher. The accurate statement is that FDR's father's name was James Roosevelt.

2. The biography mentions that FDR's mother's maiden name was Smith, which is incorrect. Her maiden name was Delano.

3. The biography incorrectly states that FDR practiced law at the firm Cushman & Wakefield. The accurate statement is that he practiced law at the firm Carter Ledyard & Milburn.

4. The biography incorrectly states that FDR ran for Congress against Charles A. Lindbergh, who was actually a famous aviator. FDR ran against Ogden L. Mills.

5. The biography states that FDR oversaw the passage of the Civil Rights Act of 1964 and the Voting Rights Act, which is incorrect. These acts were actually signed into law by President Lyndon B. Johnson. FDR did not serve during the 1960s.

Total number of mistakes: 5"
Pope John Paul II,Pope John Paul II (Latin: Ioannes Paulus II; Italian: Giovanni Paolo II; Polish: Jan Paweł II; born Karol Józef Wojtyła [ˈkarɔl ˈjuzɛv vɔjˈtɨwa];[b] 18 May 1920 – 2 April 2005) was head of the Catholic Church and sovereign of the Vatican City State from 1978 until his death in 2005.,"Biography of Pope John Paul II:
Pope John Paul II (Latin: Ioannes Paulus II; Italian: Giovanni Paolo II; Polish: Jan Paweł II; born Karol Józef Wojtyła [ˈkarɔl ˈjuzɛv vɔjˈtɨwa];[b] 18 May 1920 – 2 April 2005) was head of the Catholic Church and sovereign of the Vatican City State from 1978 until his death in 2005. He is considered to be one of the most influential figures in modern history, having served as pope for nearly 30 years.
Born in Poland, he was raised in a Catholic family. His father, a priest, died when he was young, leaving him with an older brother and two sisters. He attended the Jesuit school in Kraków, where he studied theology and philosophy. After graduating, he entered the seminary at the age of 21, where his studies were interrupted by World War II. He returned to study at the Pontifical Gregorian University in Rome, where, after completing his doctorate in theology, he became a professor of canon law.
In 1958, he married Maria Teresa Szczepanowska, a Polish-born nun who had been ordained a priest in the Jesuits. They had three children together: John Paul I, Joseph Ratzinger, and Agnes. In 1960, he began teaching at the University of Warsaw, where in 1962 he was appointed professor of moral theology. In 1964, he moved to Rome, becoming professor of ethics at the Gregorian. In 1968, he received the title of cardinal, and in 1970 he was named archbishop of Krakow.
He was elected pope on 13 March 1978, succeeding Pope Pius XII. He was elected to the College of Cardinals on 19 October 1978, and was installed as pope on 27 November 1978. He resigned as pope in 1981, but remained as archbishop until his","{'prediction': False, 'confidence': None, 'z_score': -2.068145962637134}","Mistake 1: In the sample biography, it is stated that Pope John Paul II's father was a priest. However, this is incorrect. His father, Karol Wojtyła Sr., was actually a non-commissioned army officer and later, a non-commissioned army officer. 
Correction 1: Pope John Paul II's father was not a priest but a non-commissioned army officer.

Mistake 2: The sample biography states that Pope John Paul II married Maria Teresa Szczepanowska, a Polish-born nun. This is incorrect. Pope John Paul II took a vow of celibacy and did not marry anyone.
Correction 2: Pope John Paul II did not marry; he took a vow of celibacy.

Mistake 3: The sample biography includes the names of three children attributed to Pope John Paul II and Maria Teresa Szczepanowska. However, Pope John Paul II did not have any children as he remained celibate throughout his life.
Correction 3: Pope John Paul II did not have any children.

Total number of mistakes: 3"
Thomas Edison,"Thomas Alva Edison (February 11, 1847 – October 18, 1931) was an American inventor and businessman.","Biography of Thomas Edison:
Thomas Alva Edison (February 11, 1847 – October 18, 1931) was an American inventor and businessman. He is best known for his invention of the light bulb, which he patented in 1879. He also invented the phonograph, the first commercially successful recording device.
Edison's inventions were used to create a wide variety of products, including electric lighting, phonographs, radios, and television. His most famous invention, the lightbulb, has been credited with saving millions of lives around the world.
He was born in New York City on February 11,1847, the son of Thomas and Mary (née Schuyler) Edison. His father was a lawyer who had worked as a clerk at the U.S. Patent Office. His mother was a homemaker.
His father died when Thomas was only three years old. His parents divorced when he was seven, and his mother remarried. Edison's mother, Mary, was a devout Catholic. She was a member of the Sisters of Charity of St. Joseph of Orange County, California.
In 1869, Edison married Mary E. (né Schuyer) Gurney, a former schoolteacher from New Jersey. They had two children together, a daughter named Mary E., and a son named Theodore.
After his divorce, Edison moved to New Jersey, where he became a teacher and later a principal. In 1872, he married Mary Gurnee, a teacher from New York. The couple had one child together, Mary E..
In 1880, Edison began working as","{'prediction': False, 'confidence': None, 'z_score': -2.0689727957574986}","Mistake 1: His father's occupation is incorrectly mentioned as a lawyer who worked as a clerk at the U.S. Patent Office. The correct statement is that his father, Samuel Edison, was a Canadian political activist and a middle-class family's successful shingle manufacturer and occasional farmer.

Mistake 2: His mother's religious affiliation is incorrect. The correct statement is that his mother, Nancy Matthews Elliott, was a devout Methodist.

Mistake 3: His mother's membership in the Sisters of Charity of St. Joseph of Orange County, California is incorrect. She was never a member of any religious order or organization.

Mistake 4: His first wife's name is incorrectly mentioned as ""Mary E. (né Schuyer) Gurney."" The correct name is Mary Stilwell (née Stillwell) Edison.

Mistake 5: The mention of his mother's remarriage is incorrect. His mother, Nancy, remained single after divorcing Edison's father.

Mistake 6: The mention of his second wife, Mary Gurnee, is incorrect. He married Mina Miller in 1886, and they had three children together: Madeleine, Charles, and Theodore.

Mistake 7: The information about his career after moving to New Jersey and becoming a teacher and principal is incomplete. Edison worked as a telegraph operator and invented his first successful invention, the electric vote recorder, in Newark, New Jersey before becoming a full-time inventor. 

Total number of mistakes: 7"
Rosa Parks,"Rosa Louise McCauley Parks (February 4, 1913 – October 24, 2005) was an American activist in the civil rights movement best known for her pivotal role in the Montgomery bus boycott.","Biography of Rosa Parks:
Rosa Louise McCauley Parks (February 4, 1913 – October 24, 2005) was an American activist in the civil rights movement best known for her pivotal role in the Montgomery bus boycott. She is widely considered to be the ""mother of the civil-rights movement.""
Parks was born in Montgomery, Alabama, and grew up in a segregated neighborhood. Her father, a sharecropper, died when she was young, leaving her mother to raise her and her three siblings on her own. In 1937, Parks joined the NAACP and became active in the organization's efforts to desegregate public transportation in Montgomery.
In 1955, Parks was arrested while sitting at a bus stop in Montgomery and charged with violating the city's segregation laws. The case against her was dismissed after she refused to give up her seat to a white passenger. Parks' refusal to give way sparked a national debate about racial equality and led to the passage of the Civil Rights Act of 1964.
Parsons, who has written extensively about the civil liberties movement, said that Parks' decision to sit in the back of the bus was ""the most important act of nonviolent resistance ever undertaken by a woman.""
""She was not only the first African-American woman to sit down in the front of a bus, but she was also the first person to refuse to move from her place,"" Parsons told NPR. ""And she did it because she believed that the right to vote was a fundamental human right.""
The Montgomery bus boycotts were one of the largest civil rights demonstrations in U.S. history. They lasted from 1955 until 1963, when the Supreme Court ruled that the law prohibiting segregation on buses was","{'prediction': False, 'confidence': None, 'z_score': 0.09325048082403138}","Mistakes:
1. Rosa Parks' last name is misspelled as ""Parsons"" throughout the biography.
2. The biography states that Rosa Parks was the first African-American woman to sit in the front of a bus, but in reality, she was not. She is known for refusing to give up her seat to a white passenger, which happened in the ""colored section"" of the bus, which was towards the back. However, she did become a symbol of the civil rights movement and played a significant role in the Montgomery bus boycott.
3. The biography incorrectly states that the Civil Rights Act of 1964 was the result of Rosa Parks' refusal to give up her seat. In reality, the Civil Rights Act was primarily a response to the March on Washington for Jobs and Freedom in 1963, where Martin Luther King Jr. delivered his famous ""I Have a Dream"" speech. However, Parks' actions did contribute to the overall momentum of the civil rights movement.
4. The last sentence is incomplete and ends abruptly, leaving the information unfinished.

Total number of mistakes: 4"
Lyndon Johnson,"Lyndon Baines Johnson (/ˈlɪndən ˈbeɪnz/; August 27, 1908 – January 22, 1973), often referred to by his initials LBJ, was an American politician who served as the 36th president of the United States from 1963 to 1969.","Biography of Lyndon Johnson:
Lyndon Baines Johnson (/ˈlɪndən ˈbeɪnz/; August 27, 1908 – January 22, 1973), often referred to by his initials LBJ, was an American politician who served as the 36th president of the United States from 1963 to 1969. He is best known for his efforts to pass the Civil Rights Act of 1964 and the Voting Rights Act in 1965.

Early life
Johnson was born on August 27th, 1908, in Galveston, Texas, to James and Mary Johnson. His father was a Methodist minister, and his mother was a homemaker. Johnson attended public schools in Galviston, where he graduated from high school in 1929. After graduating from highschool, Johnson enrolled at the University of Texas at Austin, where his major was political science. In 1930, Johnson transferred to the University at Buffalo, where in 1932 he received a bachelor's degree in political science with a minor in economics.
In 1934, Johnson married Mildred Ann (Mildie) Johnson, a native of Galvestown, Texas. They had two children together, a son named Robert and a daughter named Betty.
After graduation from college, Johnson worked as a clerk for the U.S. Attorney General's office in Washington, D.C., before moving to New York City in 1936. He worked as an assistant district attorney in Manhattan, and then as a private attorney in the same city. In 1940, Johnson moved back to Texas, where, in 1941, he became a member of the Texas House of Representatives. In 1942, Johnson was elected to the Texas Senate, where during World War II he served as chairman of the Committee on Public Works.
During World War Two, Johnson served as a lieutenant colonel in","{'prediction': False, 'confidence': None, 'z_score': -0.2407717061715384}","Mistakes in the sample biography:

1. The correct spelling of the city is ""Galveston,"" not ""Galviston.""
2. Johnson graduated from high school in 1924, not 1929.
3. There is no record of Johnson transferring to the University at Buffalo. He actually continued his education at the Southwest Texas State Teachers College (now known as Texas State University) in San Marcos, Texas.
4. Mildred Ann (Mildie) Johnson was not Johnson's wife. He was married to Claudia Alta Taylor, commonly known as Lady Bird Johnson.
5. Johnson did not work as a clerk for the U.S. Attorney General's office. He worked as a secretary to Congressman Richard M. Kleberg.
6. Johnson did not serve as an assistant district attorney in Manhattan.
7. There is no mention of Johnson's role as the director of the National Youth Administration's Texas state office from 1935 to 1937.
8. In 1941, Johnson became a member of the U.S. House of Representatives, not the Texas House of Representatives.
9. Johnson did not serve as chairman of the Committee on Public Works during World War II.
10. The information about Johnson serving as a lieutenant colonel during World War II is incomplete. He did serve in the military during the war, but as a civilian, not as an officer.

Total number of mistakes: 10"
Ludwig Beethoven,Ludwig van Beethoven[n 1] (baptised 17 December 1770 – 26 March 1827) was a German composer and pianist.,"Biography of Ludwig Beethoven:
Ludwig van Beethoven[n 1] (baptised 17 December 1770 – 26 March 1827) was a German composer and pianist. He is best known for his symphonies, but he also wrote many other works including piano sonatas, chamber music, and operas. His most famous work is the Ninth Symphony, which has been performed more than 100 million times.
Beethoven's life and career were marked by tragedy and personal hardship. He suffered from depression and alcoholism, and was often in debt to creditors. He was born into a poor family in the small town of Salzburg, Austria-Hungary, and grew up in poverty. His father died when he was young, leaving him with an orphaned sister. He studied at the Vienna Conservatory under Johann Sebastian Bach, and later became a pupil of Franz Liszt. In 1796, he married Maria Theresa von Schönberg, who was the daughter of a wealthy merchant. They had three children together, two sons and a daughter.
In 1805, Beethovn moved to Munich, where he worked as a teacher and conductor. He composed his first symphony there in 1807, and continued to compose there until his death. He also taught at the University of Munich, and in 1810, he founded the Munich Philharmonic Orchestra. In 1812, he moved to Berlin, where his wife died in 1814. He then returned to Munich and resumed his teaching duties. In 1830, he began composing his second symphony, which was completed in 1832.
The Ninth Symphony was written between 1833","{'prediction': False, 'confidence': None, 'z_score': -2.0322425483123476}","Mistakes in the sample biography:

1. Beethoven was baptized on December 17, 1770, not born on that date.
2. Beethoven was born in Bonn, Electorate of Cologne (now Germany), not in Salzburg, Austria-Hungary.
3. Beethoven's father died when he was 17 years old, not when he was young.
4. Beethoven studied under Christian Gottlob Neefe, not Johann Sebastian Bach.
5. Beethoven became a pupil of Joseph Haydn, not Franz Liszt.
6. Beethoven married Therese von Brunswick in 1810, not Maria Theresa von Schönberg.
7. Beethoven did not live in Munich, but in Vienna, Austria, where he worked as a teacher and composer.
8. There is no record of Beethoven founding the Munich Philharmonic Orchestra.
9. Beethoven's wife, Therese von Brunswick, did not die in 1814, as she divorced Beethoven in 1811.
10. Beethoven did not compose his second symphony in 1830-1832, as he died in 1827.
11. The Ninth Symphony was written between 1822 and 1824, not between 1833 and unreadable text.

Total number of mistakes: 11"
