Watermarked=True,Gamma=0.25,Delta=2.0
Name,First Sentence,Biography,Detection,Evaluation
Franklin D. Roosevelt,"Franklin Delano Roosevelt[a] (January 30, 1882 – April 12, 1945), commonly known by his initials FDR, was an American politician and statesman who served as the 32nd president of the United States from 1933 until his death in 1945.","Biography of Franklin D. Roosevelt:
Franklin Delano Roosevelt[a] (January 30, 1882 – April 12, 1945), commonly known by his initials FDR, was an American politician and statesman who served as the 32nd president of the United States from 1933 until his death in 1945. He is most famous for his leadership during the Great Depression. He was one of the first two presidents to be elected twice, serving from 1929 to 1935 and again from 1936 to 1941. He also served as a senator for New York from 1929–1934 and for New Jersey from 1934–1939, where he won reelection every year he was in office, winning by a total of 1,812 votes out of 8,715 cast. He received the Nobel Peace Prize in 1938. He held office from March 4, 1933 to March 4,...","{'prediction': True, 'confidence': 0.9999999999889497, 'z_score': 6.691426888074741}","Mistakes in the sample biography:
1. The dates of Franklin D. Roosevelt's presidency are incorrect. He served as the 32nd president of the United States from 1933 to 1945.
2. There is no mention of FDR's third term as president, from 1941 to 1945.
3. FDR was not a senator for New York or New Jersey. He was the governor of New York from 1929 to 1932.
4. The statement about winning reelection every year in office and receiving a specific number of votes is incorrect.

True statements:
1. Franklin D. Roosevelt was commonly known as FDR.
2. FDR is most famous for his leadership during the Great Depression.
3. FDR received the Nobel Peace Prize in 1938.

Total number of mistakes: 4"
Pope John Paul II,Pope John Paul II (Latin: Ioannes Paulus II; Italian: Giovanni Paolo II; Polish: Jan Paweł II; born Karol Józef Wojtyła [ˈkarɔl ˈjuzɛv vɔjˈtɨwa];[b] 18 May 1920 – 2 April 2005) was head of the Catholic Church and sovereign of the Vatican City State from 1978 until his death in 2005.,"Biography of Pope John Paul II:
Pope John Paul II (Latin: Ioannes Paulus II; Italian: Giovanni Paolo II; Polish: Jan Paweł II; born Karol Józef Wojtyła [ˈkarɔl ˈjuzɛv vɔjˈtɨwa];[b] 18 May 1920 – 2 April 2005) was head of the Catholic Church and sovereign of the Vatican City State from 1978 until his death in 2005. He is also known as Pope John XXIII, Pope John XII or Pope John XI, because he served as a papal candidate for John XII in 1958.[2][3] The title ""Pontiff"" is used to refer only to him. The Latin phrase ""Pontifex Maximus"" (""Pontifical High Priest"") refers only to the pope's office, which is held by him alone, and not to any other pontificates. The title of ""Pontificals"" is also sometimes used to describe all of the papal encyclicals issued by the pope since the beginning of the 20th century. The term ""pontifical"", however, does not mean any particular office, but rather the whole body of papal documents, which are published under the papacy's name, and thus are not considered separate. The papacy has no legal personality and the pope does not have any authority to govern, or even to speak. The pope's decisions are not binding on anyone else, unless they agree to them. The Pope is also called ""Pontificate"" when addressing the public or giving official speeches. The word ""Pontiffs"" is occasionally used to express the pope as a person who holds the title of Pontiff. The most commonly used form of the title is ""Pontificatus"".

John Paul II became the first non-European to hold the papate of pope since Pius IX in 1478, and the first pope since St. Peter","{'prediction': True, 'confidence': 1.0, 'z_score': 13.787639750914225}","Mistakes in the sample biography of Pope John Paul II:

1. Incorrect names: It mistakenly lists Pope John Paul II as also being known as Pope John XXIII, Pope John XII, or Pope John XI. The true statement is that Pope John Paul II should not be confused with these other popes as they were separate individuals who held the papacy at different times.

2. Inaccurate information about the title ""Pontifex Maximus"": The biography states that the Latin phrase ""Pontifex Maximus"" refers only to the pope's office, which is held by him alone. However, the true statement is that ""Pontifex Maximus"" was a title used in ancient Rome for the high priest of the College of Pontiffs and was later adopted by the Catholic Church to refer to the pope.

3. Incorrect understanding of the term ""Pontificals"": The biography states that the term ""Pontificals"" is used to describe all papal encyclicals issued since the 20th century. The true statement is that ""Pontificals"" actually refers to the liturgical vestments, objects, and ceremonies associated with the pontifical office.

4. Misleading information about legal authority: The biography asserts that the papacy has no legal personality and the pope does not have any authority to govern or speak. However, the true statement is that the papacy is a recognized legal entity, and the pope does hold authority in matters of doctrine, governance, and leadership within the Catholic Church.

5. Incorrect statement about the term ""Pontificate"": The biography claims that the Pope is called ""Pontificate"" when addressing the public or giving official speeches. The true statement is that the term ""Pontificate"" refers to the time period during which a particular pope serves as the Bishop of Rome.

Total number of mistakes: 5"
Thomas Edison,"Thomas Alva Edison (February 11, 1847 – October 18, 1931) was an American inventor and businessman.","Biography of Thomas Edison:
Thomas Alva Edison (February 11, 1847 – October 18, 1931) was an American inventor and businessman. He is known for his contribution to the development of the electric light bulb, which became the most commonly used electrical appliance in the world. He also invented a device that could generate electricity from the vibrations of air passing through it. He founded the Edison Electric Light Company (EELCO), and served as its president until his death. He received the Nobel Prize in Physics in 1911 and the Presidential Medal of Freedom in 1935. He was one of the first Americans to be awarded the Nobel Peace Prize and the first person to receive two Nobel Prizes for his work. He made many contributions to science and engineering and helped to establish modern science and technology. He worked on inventions including phonographs and the electric motor, which later became the electric vehicle. He contributed significantly to the advancement of the United States and the world by inventing the electric bulb, the electric car, the transistor radio and the transistor TV. He has been described as a ""genius"" and a ""pioneer"". His inventions have led to the creation of numerous new products. He continues to influence the development and use of modern electronics and information technology. The company he founded, which had over 1,500 employees at its peak, went bankrupt in 1931; the Edison Research Corporation was sold in 1932 and the Edison Lighting Company became the Edison Lamp Company. He retired from the Edison Company in 1938. He died in 1931 at age 81 in Los Angeles, California. He left behind a wife, Edith (née Breen),","{'prediction': True, 'confidence': 1.0, 'z_score': 14.864773778750028}","Mistakes:

1. The light bulb is not an appliance, but rather a device.
- True statement: The light bulb is an electrical device used to produce light.

2. Thomas Edison did not invent a device that could generate electricity from the vibrations of air passing through it.
- True statement: Thomas Edison invented the phonograph.

3. Thomas Edison did not receive the Nobel Prize in Physics in 1911.
- True statement: Thomas Edison did not receive the Nobel Prize.

4. Thomas Edison did not receive the Presidential Medal of Freedom in 1935.
- True statement: Thomas Edison did not receive the Presidential Medal of Freedom.

5. Thomas Edison did not receive the Nobel Peace Prize.
- True statement: Thomas Edison did not receive the Nobel Peace Prize.

6. Thomas Edison did not invent the electric car, transistor radio, or transistor TV.
- True statement: Thomas Edison did not invent the electric car, transistor radio, or transistor TV.

Total number of mistakes: 6"
Rosa Parks,"Rosa Louise McCauley Parks (February 4, 1913 – October 24, 2005) was an American activist in the civil rights movement best known for her pivotal role in the Montgomery bus boycott.","Biography of Rosa Parks:
Rosa Louise McCauley Parks (February 4, 1913 – October 24, 2005) was an American activist in the civil rights movement best known for her pivotal role in the Montgomery bus boycott. She is also recognized as a pioneer in women's suffrage, and the first African-American woman to hold political office, serving two terms as a U.S. Representative from Alabama. She has been described as a ""legendary figure"", who inspired millions of Americans to fight for equality. She was awarded the Presidential Medal of Freedom by former President George W. Bush in 2004.
ROSA PARKS' FAMILY AND HER LIFE STORY
Rozsa's family came from the South African town of Pietermaritzburg, where she was born on February 4,1913. She attended the public high school, where her mother was a teacher. She went to Howard University and graduated with a BA degree in 1935. She worked as a journalist and a bookkeeper before becoming an organizer with the NAACP in 1938. She joined the Congress of Racial Equality and helped lead the march across the Edmund Pettus Bridge in Selma in 1965, which became the catalyst that led to the passage of the Voting Rights Act of 1965. She served three terms representing the state of Alabama between 1959 and 1977. She ran against segregationist Republican Senator John C. Fremont in 1972 but lost. She died on October 24 at the age of 90, leaving behind a wife, six children, eight grandchildren, and nine great-grandchildren.
Her legacy lives on today through her name, which now adorns one of the largest memorials in America, located outside of the Washington Monument in Washington","{'prediction': True, 'confidence': 1.0, 'z_score': 12.277979975164131}","Mistake 1: Rosa Parks was not the first African-American woman to hold political office. The correct statement is that she was not a politician and did not hold any political office.

Mistake 2: Rosa Parks did not serve as a U.S. Representative from Alabama, nor did she serve two terms in any political office.

Mistake 3: Rosa Parks was not born in Pietermaritzburg, South Africa. She was born in Tuskegee, Alabama, United States.

Mistake 4: Rosa Parks did not attend Howard University and did not graduate with a BA degree. She attended Alabama State Teachers College (now known as Alabama State University) but did not complete her degree.

Mistake 5: Rosa Parks did not work as a journalist nor a bookkeeper. She worked as a seamstress at the Montgomery Fair department store.

Mistake 6: Rosa Parks did not join the Congress of Racial Equality (CORE); she was active in the National Association for the Advancement of Colored People (NAACP).

Mistake 7: Rosa Parks did not lead the march across the Edmund Pettus Bridge in Selma. She was not involved in the Selma marches; that was led by civil rights leaders such as Martin Luther King Jr., John Lewis, and Hosea Williams.

Mistake 8: Rosa Parks did not serve three terms representing the state of Alabama or run against segregationist Senator John C. Frémont. She did not hold any political office and did not run for the Senate. 

Mistake 9: Rosa Parks did not die at the age of 90. She passed away on October 24, 2005, at the age of 92.

Mistake 10: Rosa Parks did not leave behind a wife (as mentioned in the sentence). She was married to Raymond Parks, her husband who passed away in 1977.

Corrected information and corresponding true statements:
- Rosa Parks was a civil rights activist best known for her role in the Montgomery bus boycott.
- She was not a politician and did not hold any political office.
- She was not the first African-American woman to hold political office.
- Rosa Parks was born on February 4, 1913, in Tuskegee, Alabama.
- She did not attend Howard University and did not graduate with a BA degree.
- She worked as a seamstress at the Montgomery Fair department store.
- Rosa Parks was active in the NAACP, not CORE.
- She did not lead the march across the Edmund Pettus Bridge in Selma.
- Rosa Parks did not serve three terms representing Alabama or run for the Senate.
- She died on October 24, 2005, at the age of 92.
- She left behind six children, eight grandchildren, and nine great-grandchildren.
- Her name adorns the Rosa Parks statue located outside of the Washington Monument in Washington, D.C.

Total number of mistakes: 10"
Lyndon Johnson,"Lyndon Baines Johnson (/ˈlɪndən ˈbeɪnz/; August 27, 1908 – January 22, 1973), often referred to by his initials LBJ, was an American politician who served as the 36th president of the United States from 1963 to 1969.","Biography of Lyndon Johnson:
Lyndon Baines Johnson (/ˈlɪndən ˈbeɪnz/; August 27, 1908 – January 22, 1973), often referred to by his initials LBJ, was an American politician who served as the 36th president of the United States from 1963 to 1969. He is known for his leadership in the civil rights movement and for his role in the creation of the Federal Government's Medicaid program. He was one of the most prominent figures in U.S. history. He received the Nobel Peace Prize in 1964 for his efforts in bringing about the end of the Vietnam War and for helping to end the Cold War. He also received the Presidential Medal of Freedom, the nation's highest civilian honor, in 1975. He died at his home in Austin, Texas, on January 22 of a heart attack while playing golf. He had been suffering from prostate cancer.

Early life
Lynda Jean Johnson was born in Chicago, Illinois, on August 27 of 1908, the youngest of three daughters of Henry and Ethel (Bain) Johnson. She attended the public schools of the South Side of Chicago until she was 16 when her mother took her and her sister, Betty, to live with her grandparents, John and Ida (Harrison) Bain, in Houston, Texas. The family moved to Fort Worth, Texas in 1926 where they lived until 1927 when their father Henry took a job with the railroad as a brakeman and the family returned to Houston. Johnson began working at an early age as a bookkeeper. She went to school at St. Mary’s College in Houston from 1929 to 1930, graduating magna cum laude, and earned a law degree from the University of Texas in 1932. She worked as a legal secretary for several lawyers and","{'prediction': True, 'confidence': 1.0, 'z_score': 12.03858530857692}","Mistakes:
1. The biography mistakenly refers to Lyndon B. Johnson's daughter, Lynda Jean Johnson, instead of Lyndon Baines Johnson himself.
2. Lyndon B. Johnson was born on August 27, 1908, not in Chicago, Illinois, but in Stonewall, Texas.
3. Lyndon B. Johnson is primarily known for his leadership in the civil rights movement, but the biography incorrectly attributes his leadership in the creation of the Federal Government's Medicaid program.
4. The biography states that Lyndon B. Johnson received the Nobel Peace Prize in 1964 for his efforts in bringing about the end of the Vietnam War and helping to end the Cold War, but he actually received the prize for his work in promoting civil rights and reducing racial discrimination in the United States.
5. The biography incorrectly states that Lyndon B. Johnson received the Presidential Medal of Freedom in 1975. He actually received it on January 18, 1969.
6. Lyndon B. Johnson passed away from a heart attack on January 22, 1973, at his ranch in Stonewall, Texas, and not at his home in Austin, Texas.
7. There is no information available on Lyndon B. Johnson suffering from prostate cancer.

Total number of mistakes: 7"
Ludwig Beethoven,Ludwig van Beethoven[n 1] (baptised 17 December 1770 – 26 March 1827) was a German composer and pianist.,"Biography of Ludwig Beethoven:
Ludwig van Beethoven[n 1] (baptised 17 December 1770 – 26 March 1827) was a German composer and pianist. He is known for his works in the genre of symphonic music, particularly those in the grandiose style, which have influenced all modern classical music. He composed many of these works during his lifetime and wrote more than 30 pieces that were published posthumously. He also had several children with his wife Maria Antonia Köster, including one son named after his father's favourite horse, named after the composer Franz Schubert.[2][3]
Beethoven was born in Leipzig, Germany, where he spent the first half of his life before moving to Vienna in 1794, where his father had been appointed professor of composition at the Academy of Music.[4] The family moved to St. Petersburg, Russia, where Ludwig began writing and studying piano at an early age. He received the first of two doctorates from the Academy in 1799. He returned to Vienna shortly afterward, whereupon his father took him to Paris, where they remained until 1801, when Ludwig went back to Vienna. He made his debut as a pianist on 19 October 1801 at the Salle de la Chambre Syndicale in Paris, and by the end of the year he had won numerous competitions and prizes. He entered into a close relationship with the French composers Pierre Boulez and Charles-Henri Lully,[5] and it was through them that he met his future wife Maria Köstinger, who would become his wife in 1806.","{'prediction': True, 'confidence': 1.0, 'z_score': 14.35075891808258}","Mistakes in the sample biography are as follows:

1. The biography states that Beethoven had several children with his wife Maria Antonia Köster and one son named after composer Franz Schubert. This is incorrect. Beethoven never married or had any children.

2. The biography states that Beethoven was born in Leipzig, Germany. This is incorrect. Beethoven was actually born in Bonn, Germany.

3. The biography states that Beethoven's father was appointed professor of composition at the Academy of Music in Vienna. This is incorrect. Beethoven's father was not a professor of composition. He was a court singer in Bonn.

4. The biography states that Beethoven's family moved to St. Petersburg, Russia. This is incorrect. Beethoven never lived in St. Petersburg.

5. The biography states that Beethoven received two doctorates from the Academy. This is incorrect. Beethoven did not receive any doctorates.

6. The biography states that Beethoven entered into a close relationship with French composers Pierre Boulez and Charles-Henri Lully. This is incorrect. Pierre Boulez and Charles-Henri Lully were born long after Beethoven's death and had no relationship with him.

7. The biography states that Beethoven's future wife was Maria Köstinger. This is incorrect. Beethoven never married anyone named Maria Köstinger.

Total number of mistakes: 7"
Oprah Winfrey,"Oprah Gail Winfrey (/ˈoʊprə/; born Orpah Gail Winfrey;[2] January 29, 1954), also known mononymously as Oprah, is an American talk show host, television producer, actress, author, and media proprietor.","Biography of Oprah Winfrey:
Oprah Gail Winfrey (/ˈoʊprə/; born Orpah Gail Winfrey;[2] January 29, 1954), also known mononymously as Oprah, is an American talk show host, television producer, actress, author, and media proprietor. She has won numerous awards for her work in the entertainment industry.[3][4] Winfrey began her career as a journalist with ABC News in 1979.[5] In 1986, she became the first African-American anchorwoman at ABC News, where she covered stories about AIDS, education and the civil rights movement. She went on to host her own daytime talk show, Oprah,[6] and a syndicated program in 1991.[7][8] Winfried was one of the first black women to host a syndication program in America, which made her a household name.[9] The show, which aired from 1992 through 2003, won numerous national awards for its content and ratings, including eight consecutive years of the top rating in its time slot.[10] Winfrey's popularity led to several book deals, including one that resulted in her being named ""America's Best Businesswoman"" by Forbes magazine.[11] Winffrey's personal life is also well-known; she has been married to Stedman Graham since 1987, and they have three children.[12] Winfridge was awarded the Presidential Medal of Freedom by Barack Obama in 2012.[13][14] Winfeild received the Lifetime Achievement Award from the National Academy of Television Arts & Sciences in 2015.[15] Winfare, a restaurant chain founded by Winfrey in 1997,[16] is based in Los Angeles.[17] Winfair, a clothing brand that was sold in 2010,[18] is still operating in Los","{'prediction': True, 'confidence': 1.0, 'z_score': 12.614647281924249}","Mistakes in the sample biography:

1. The wrong spelling of Oprah's first name: It is ""Oprah,"" not ""Orpah.""
2. Incorrect information about Oprah's career with ABC News: She did not start her career as a journalist with ABC News in 1979.
3. Incorrect information about Oprah becoming the first African-American anchorwoman at ABC News in 1986: Oprah did not become an anchorwoman at ABC News.
4. Incorrect information about the title of Oprah's talk show: It is ""The Oprah Winfrey Show,"" not just ""Oprah.""
5. Incorrect information about Oprah being one of the first black women to host a syndication program in America: There were black women who hosted syndication programs before Oprah.
6. Incorrect information about Oprah's marriage and children: She is not married to Stedman Graham, and they do not have children together.
7. Incorrect information about Oprah being named ""America's Best Businesswoman"" by Forbes magazine.
8. Incorrect information about Oprah's restaurant chain: There is no restaurant chain called ""Winfare"" founded by Oprah in 1997.
9. Incorrect information about Oprah's clothing brand: There is no clothing brand called ""Winfair"" associated with Oprah.

Total number of mistakes: 9"
Indira Gandhi,Indira Priyadarshini Gandhi (Hindi: [ˈɪndɪɾɑː ˈɡɑːndʱi] ⓘ; née Nehru; 19 November 1917 – 31 October 1984) was an Indian politician and stateswoman who served as the 3rd Prime Minister of India from 1966 to 1977 and again from 1980 until her assassination in 1984.,"Biography of Indira Gandhi:
Indira Priyadarshini Gandhi (Hindi: [ˈɪndɪɾɑː ˈɡɑːndʱi] ⓘ; née Nehru; 19 November 1917 – 31 October 1984) was an Indian politician and stateswoman who served as the 3rd Prime Minister of India from 1966 to 1977 and again from 1980 until her assassination in 1984. She was one of the first two women to hold office in independent India, along with Jawaharlal Nehru. She is also the first woman to be elected as a Member of Parliament from the state of Gujarat. She led India from 1964 to 1975. She served as a member of the Lok Sabha (lower house of the parliament) for 22 years. She has been described as a ""modernizer"" and a ""feminist icon"". Her political legacy remains controversial and divisive in India. She holds the record of having held more than any other prime minister's office, serving twice as Prime Minister, which included the post of President of India. The Indira-Nehru era of India saw a great expansion of economic and social freedoms during the 1950s and 1960s. However, she also had to deal with some problems, including corruption, which became prevalent in government work. She faced opposition within her own party due to her progressive views on issues such as abortion, divorce, and homosexuality. She also had difficulties with some people because of her gender. She did not have a good relationship with her daughter, Sonia Gandhi, or son-in-law, Robert Vadra. She died at the age of 63 after suffering a cardiac arrest in Delhi. She succeeded her husband as Prime Ministers of India, Rajiv Gandhi, in 1975. The death of the prime minister led to riots in Delhi in which hundreds were killed by supporters of the Congress Party. The riots spread to several parts of","{'prediction': True, 'confidence': 1.0, 'z_score': 14.580296087995107}","Mistakes in the sample biography:

1. Incorrect statement: She was one of the first two women to hold office in independent India along with Jawaharlal Nehru.
Correction: Indira Gandhi was the first and only woman to hold the office of Prime Minister in India.

2. Incorrect statement: She is also the first woman to be elected as a Member of Parliament from the state of Gujarat.
Correction: Indira Gandhi was never elected as a Member of Parliament (MP) from the state of Gujarat. She represented the constituencies of Rae Bareli and Medak.

3. Incorrect statement: She led India from 1964 to 1975.
Correction: Indira Gandhi served as the Prime Minister of India from 1966 to 1977 and again from 1980 until her assassination in 1984.

4. Incorrect statement: She has been described as a ""modernizer"" and a ""feminist icon"".
Correction: While Indira Gandhi is often associated with being a feminist icon, the sample biography fails to provide appropriate evidence for her being described as a ""modernizer"".

5. Incorrect statement: She holds the record of having held more than any other prime minister's office, serving twice as Prime Minister, which included the post of President of India.
Correction: Indira Gandhi served twice as the Prime Minister of India but never held the post of President of India. The post that holds the record for serving as Prime Minister the most times is held by Jawaharlal Nehru.

6. Incorrect statement: The Indira-Nehru era of India saw a great expansion of economic and social freedoms during the 1950s and 1960s.
Correction: Indira Gandhi's tenure as Prime Minister was from 1966 onwards, so she could not have contributed to the economic and social freedoms of the 1950s.

7. Incorrect statement: She did not have a good relationship with her daughter, Sonia Gandhi, or son-in-law, Robert Vadra.
Correction: Indira Gandhi had a good relationship with her daughter, Sonia Gandhi, who later became a prominent Indian politician. The statement about her relationship with her son-in-law is irrelevant to the biography.

8. Incorrect statement: She succeeded her husband as Prime Ministers of India, Rajiv Gandhi, in 1975.
Correction: Indira Gandhi's son, Rajiv Gandhi, succeeded her as Prime Minister of India in 1984, not the other way around.

Total number of mistakes: 8"
Eva Peron,María Eva Duarte de Perón (Spanish pronunciation: [maˈɾi.,"Biography of Eva Peron:
María Eva Duarte de Perón (Spanish pronunciation: [maˈɾi.ɹa ˈperɪɹɲ]; born April 15, 1924 in Buenos Aires, Argentina) was a leading Argentine politician, actress and singer who served as First Lady from 1943 to 1944, and the first wife of President Juan Domingo Perón from 1949 to 1952. She is known for being one of the most prominent figures in Argentina's 20th century politics, serving as First lady during the time of the country's economic and military crisis, which culminated with the 1952 military coup d'état. She has been described as a ""political goddess"" due to her influence over the country and the role she played in its economic and political development, particularly after the war. She was also an important figure in Argentina’s political and social life from the 1940s until her death. She died on August 31, 1983 in Buenos Aries, Argentina at age 65.
Eva Perón was born in Buenos Ayres, Argentina, where she grew up alongside her two sisters. She attended the Colegio de San Isidro, where her mother was a student and where she learned to speak English. She went to school in BuenosAyres but moved to Buenos Aires when she was 16 years old. She worked as a dancer at La Nochebuena nightclub, where Perón met Juan Díaz. The couple married in 1947 and had five children together. Eva became the first lady of the Republic of Argentina upon Juan D. Perón becoming president","{'prediction': True, 'confidence': 1.0, 'z_score': 13.749883806908207}","Mistakes:
1. The correct spelling is Eva Perón, not Eva Peron.
2. Eva Perón was not the First Lady from 1943 to 1944. She became First Lady in 1946 when Juan Perón was elected as President.
3. Eva Perón was not the first wife of Juan Perón. They got married in 1945, and Eva was his only wife until her death in 1952.
4. The military coup d'état occurred in 1955, not 1952.
5. Eva Perón died on July 26, 1952, not on August 31, 1983.
6. The correct spelling is Buenos Aires, not Buenos Aries.
7. Eva Perón had three siblings, not two.
8. The correct spelling is Buenos Aires, not Buenos Ayres.
9. Eva Perón did not learn to speak English at the Colegio de San Isidro. She learned it later in life.
10. Eva Perón and Juan Perón got married in 1945, not 1947.
11. Eva Perón and Juan Perón did not have five children together. They had no children together.

Total number of mistakes: 11"
Benazir Bhutto,Benazir Bhutto[a] (21 June 1953 – 27 December 2007) was a Pakistani politician and stateswoman who served as the 11th and 13th prime minister of Pakistan from 1988 to 1990 and again from 1993 to 1996.,"Biography of Benazir Bhutto:
Benazir Bhutto[a] (21 June 1953 – 27 December 2007) was a Pakistani politician and stateswoman who served as the 11th and 13th prime minister of Pakistan from 1988 to 1990 and again from 1993 to 1996. She was the first woman to hold both positions in Pakistan's history. She led the PPP (Pakistan People’s Party) for more than ten years, winning three consecutive elections from 1988 through to 1990 before being assassinated by her bodyguard. She is also the first person from the South Asian subcontinent elected as a head of state. She has been described as a ""modernizer"" and a ""feminist icon"". Her political legacy remains controversial and divisive in Pakistan. She served as a member of the United Nations Security Council between 1989–1991. She died on 27 December 2006 at the age of 47.

Early life
Bhutto was born in Rawalpindi on 21 June 1953 to Zulfikar Ali Bhutta and Begum Khuda Bakhtyar Bhuttato. She attended the Government College Lahore and graduated with a BA degree in 1975. She went to law school at the University of London in 1979 but dropped out after three months due to illness. She worked as a journalist and a lecturer at the Punjab University. She joined the PNC in 1979 and became the first female president of the PNA in 1981. She ran against Prime Minister Ayub Khan in 1988. She won the election with 51% of the vote. She took office on 18 February 1989, becoming the first democratically elected female prime minister in Pakistan’ s history. The PPP and the PIA had been in power since 1977; Bh","{'prediction': True, 'confidence': 1.0, 'z_score': 14.097426366808863}","Mistakes in the sample biography:
1. The year of Bhutto's death is incorrect. It should be 2007, not 2006.
2. Her father's name is misspelled as ""Bhutta"". The correct spelling is ""Bhutto.""
3. Her mother's name is misspelled as ""Khuda Bakhtyar Bhuttato."" The correct spelling is ""Nusrat Bhutto.""
4. It is mentioned that Bhutto attended Government College Lahore, but she actually attended Radcliffe College at Harvard University.
5. The claim that Bhutto served as a member of the United Nations Security Council between 1989-1991 is inaccurate. She served as the Chairperson of the Commonwealth of Nations in 1989-1991, not the Security Council.
6. The statement that Bhutto won the election against Prime Minister Ayub Khan is incorrect. She actually ran against Prime Minister Muhammad Khan Junejo in 1988 and won the election.
7. The sentence starting with ""The PPP and the PIA had been in power since 1977"" is incomplete and doesn't make sense.

Total number of mistakes: 7"
George Orwell,"Eric Arthur Blair (25 June 1903 – 21 January 1950), better known by his pen name George Orwell, was an English novelist, essayist, journalist, and critic.","Biography of George Orwell:
Eric Arthur Blair (25 June 1903 – 21 January 1950), better known by his pen name George Orwell, was an English novelist, essayist, journalist, and critic. He is perhaps best-known for his works Animal Farm, Nineteen Eighty Four, and 1984. He was one of the first writers to write about the rise of authoritarianism in Britain during the 1940s. He also wrote extensively about fascism in Europe and the United States, particularly after World War II. He received the Nobel Prize in Literature in 1945. He died at his home in Oxford on 21 January 1970, aged 58.

Biography

Early life
George Orwell was born in London in 1903 into a middle class family of English descent. His father, John Blair (1887–1946) was a railway clerk who moved the family from Lancashire to London in 1906. He worked as a railway porter until he became an insurance clerk for the South African National Insurance Board in 1920, where he met his wife, Edith (née Brougham) Blair (1901–1978). She was from the West Country. The couple had five children: Eric (1907–1982), Geoffrey (1908–1988), Geraldine (1910–1994), and John (1911–1993). George was educated at St. Mary's High School, London, where his father had been a headmaster, and at Christ Church, Oxford University. He graduated with a BA in 1926 and a PhD in 1932, both in English literature. He subsequently taught English at St Edmund Hall College, Cambridge, where Winston Churchill once took him for lunch. He","{'prediction': True, 'confidence': 1.0, 'z_score': 13.651689545656259}","Mistakes and corresponding true statements:

1. The incorrect statement: George Orwell died at his home in Oxford on 21 January 1970, aged 58.
   The true statement: George Orwell died at his home in London on 21 January 1950, aged 46.

2. The incorrect statement: He received the Nobel Prize in Literature in 1945.
   The true statement: George Orwell did not receive the Nobel Prize in Literature.

3. The incorrect statement: His father, John Blair (1887–1946) was a railway clerk who moved the family from Lancashire to London in 1906.
   The true statement: George Orwell's father, Richard Walmesley Blair (1857–1938), was a civil servant who did not work as a railway clerk. The family did move to London in 1907.

4. The incorrect statement: He worked as a railway porter until he became an insurance clerk for the South African National Insurance Board in 1920.
   The true statement: George Orwell's father worked as a sub-deputy opium agent in the Indian Civil Service until he retired in 1912. He did not become an insurance clerk in 1920.

Total number of mistakes: 4"
Vladimir Putin,Vladimir Vladimirovich Putin[c] (born 7 October 1952) is a Russian politician and former intelligence officer who has been President of Russia since 2012.,"Biography of Vladimir Putin:
Vladimir Vladimirovich Putin[c] (born 7 October 1952) is a Russian politician and former intelligence officer who has been President of Russia since 2012. He is the current leader of the Russian Federal Security Service, or FSB, which oversees security agencies in Russia, as well as head of the Federal Security Council, which is the top body of the government. He was previously Prime Minister from 2000 to 2005 and served as Foreign Minister from 1996 to 2000. He entered politics in 1979 when he worked as a deputy of the lower house of the parliament, the Federation Council, where he rose through the ranks. He became the first person to hold both positions at once when he was appointed to the post of deputy prime minister and foreign minister in 1999 by then-president Boris Yeltsin. He resigned from his post of prime minister in May 2000 after Yeltsins presidency fell and returned to the lower chamber of the legislature. He ran for president again in 2004 but lost to Vladimir Zhirinovsky. He returned to office in August 2000 as a result of the election of Boris Yelstin as president of Russia, serving until 2004. He subsequently served as Prime Minister under Boris Yelsteins presidency, serving from 2000 until 2004, and then again between 2006 and 2008 under Dmitry Medvedev, serving again between 2011 and 2012 under Vladimir Putin. He also served as Chairman of the Federation council from 2012 to 2015. He has held various other positions in government since then, including Deputy Prime Minister, Chief of the General Staff, Director of the Main Intelligence Directorate and Director of Military Intelligence. He retired from the FSB in April 2016 after more than 30 years","{'prediction': True, 'confidence': 1.0, 'z_score': 12.52448582170299}","Mistakes:
1. Vladimir Putin has been President of Russia since 2012, not 2000.
2. He is not the current leader of the Russian Federal Security Service (FSB). He served as the director of FSB from 1998 to 1999.
3. He was not prime minister from 2000 to 2005, but from 1999 to 2000 and again from 2008 to 2012.
4. He did not serve as foreign minister from 1996 to 2000, but from 1999 to 2000.
5. He did not run for president and lose to Vladimir Zhirinovsky in 2004. He won the presidential election in 2000 and was reelected in 2004.
6. Boris Yeltsin did not become president of Russia in August 2000.
7. Vladimir Putin did not serve as Prime Minister under Boris Yeltsin. He served as Prime Minister under President Yeltsin's successor, Dmitry Medvedev.
8. Vladimir Putin did not serve as Chairman of the Federation Council from 2012 to 2015. He was never the chairman of the Federation Council.
9. Vladimir Putin did not retire from the FSB in April 2016, as he was never a part of the FSB.

Total number of mistakes: 9"
